HRV ANALYSIS RESULTS - 17-May-2021 14:35:53
Kubios HRV Premium
3.5.0
released in May 2021

Analyzed by:  -  - 

File name: C:\Users\Acquisition\Desktop\Active analysis\Kubios analysis\3296_02_nurs2.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiEKG
Channel label: RR data
Data length: 01:56:05 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 23
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: Spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,    Sample 7,    Sample 8,    Sample 9,   Sample 10,   Sample 11,   Sample 12,   Sample 13,   Sample 14,   Sample 15,   Sample 16,   Sample 17,   Sample 18,   Sample 19,   Sample 20,   Sample 21,   Sample 22,   Sample 23,
  Sample limits (hh:mm:ss):   ,00:00:00-00:05:00,00:05:00-00:10:00,00:10:00-00:15:00,00:15:00-00:20:00,00:20:00-00:25:00,00:25:00-00:30:00,00:30:00-00:35:00,00:35:00-00:40:00,00:40:00-00:45:00,00:45:00-00:50:00,00:50:00-00:55:00,00:55:00-01:00:00,01:00:00-01:05:00,01:05:00-01:10:00,01:10:00-01:15:00,01:15:00-01:20:00,01:20:00-01:25:00,01:25:00-01:30:00,01:30:00-01:35:00,01:35:00-01:40:00,01:40:00-01:45:00,01:45:00-01:50:00,01:50:00-01:55:00,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,         291,         334,         334,         334,         345,         352,         348,         348,         342,         346,         340,         347,         329,         325,         339,         325,         320,         321,         326,         323,         332,         335,         348,
  Beats corrected:            ,           0,           0,           0,           0,           0,           5,           4,           0,           4,           1,           0,           1,           3,           2,           2,           2,           4,           0,           2,           2,           4,           2,           2,
  Beats corrected (%):        ,           0,           0,           0,           0,           0,        1.42,        1.15,           0,        1.17,       0.289,           0,       0.288,       0.912,       0.615,        0.59,       0.615,        1.25,           0,       0.613,       0.619,         1.2,       0.597,       0.575,
  Effective data length (s):  ,         258,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         292,         299,         300,         290,         288,         300,         300,         300,         300,         300,         300,
  Effective data length (%):  ,       85.91,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,       97.32,       99.67,      100.00,       96.66,       95.99,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,    SAMPLE 7,            ,    SAMPLE 8,            ,    SAMPLE 9,            ,   SAMPLE 10,            ,   SAMPLE 11,            ,   SAMPLE 12,            ,   SAMPLE 13,            ,   SAMPLE 14,            ,   SAMPLE 15,            ,   SAMPLE 16,            ,   SAMPLE 17,            ,   SAMPLE 18,            ,   SAMPLE 19,            ,   SAMPLE 20,            ,   SAMPLE 21,            ,   SAMPLE 22,            ,   SAMPLE 23,            ,
Results Overview              ,
  PNS index:                  ,      0.0733,            ,      0.3004,            ,      0.1138,            ,      0.0791,            ,     -0.1679,            ,     -0.4591,            ,     -0.0282,            ,     -0.1055,            ,     -0.1497,            ,     -0.2435,            ,     -0.0288,            ,     -0.1984,            ,     -0.0881,            ,      0.0897,            ,     -0.1475,            ,      0.0738,            ,      0.1789,            ,      0.2766,            ,      0.1532,            ,      0.4320,            ,      0.1136,            ,      0.1212,            ,     -0.2020,            ,
  SNS index:                  ,     -0.0241,            ,     -0.2254,            ,     -0.1804,            ,     -0.2488,            ,      0.0893,            ,      0.2153,            ,     -0.0381,            ,      0.0844,            ,      0.0980,            ,      0.0501,            ,      0.0089,            ,     -0.1579,            ,      0.0259,            ,     -0.1121,            ,      0.0468,            ,     -0.1593,            ,     -0.2654,            ,     -0.1860,            ,     -0.2924,            ,     -0.5117,            ,     -0.2773,            ,     -0.2554,            ,     -0.1055,            ,
  Stress index:               ,      8.4267,            ,      8.0106,            ,      7.8844,            ,      7.3230,            ,      8.5267,            ,      8.9249,            ,      7.7265,            ,      8.5613,            ,      8.9041,            ,      8.0453,            ,      8.4987,            ,      6.3702,            ,      8.7531,            ,      9.0445,            ,      8.7964,            ,      7.6280,            ,      7.4119,            ,      8.9596,            ,      7.7056,            ,      6.8025,            ,      7.2865,            ,      7.0300,            ,      6.9847,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    879.6186,            ,    900.1482,            ,    896.1856,            ,    899.8488,            ,    868.8536,            ,    855.6576,            ,    866.5322,            ,    862.7055,            ,    876.9155,            ,    867.2678,            ,    881.3221,            ,    864.4195,            ,    885.2666,            ,    915.9023,            ,    885.3398,            ,    889.7872,            ,    896.8096,            ,    932.1589,            ,    921.4385,            ,    927.7314,            ,    905.5128,            ,    894.1285,            ,    863.7184,            ,
  SDNN (ms):                  ,     51.8167,            ,     50.3647,            ,     51.8864,            ,     56.9622,            ,     52.4438,            ,     41.7546,            ,     55.6427,            ,     48.3511,            ,     49.6997,            ,     55.1396,            ,     53.1433,            ,     67.7753,            ,     49.4607,            ,     44.2868,            ,     49.4102,            ,     57.3960,            ,     52.6276,            ,     50.3291,            ,     54.9001,            ,     54.9999,            ,     58.0016,            ,     62.4053,            ,     56.3581,            ,
  Mean HR (beats/min):        ,     68.2114,            ,     66.6557,            ,     66.9504,            ,     66.6779,            ,     69.0565,            ,     70.1215,            ,     69.2415,            ,     69.5486,            ,     68.4216,            ,     69.1828,            ,     68.0795,            ,     69.4107,            ,     67.7762,            ,     65.5092,            ,     67.7706,            ,     67.4319,            ,     66.9038,            ,     64.3667,            ,     65.1156,            ,     64.6739,            ,     66.2608,            ,     67.1045,            ,     69.4671,            ,
  SD HR (beats/min):          ,      4.1646,            ,      3.8564,            ,      3.9199,            ,      4.3521,            ,      4.3597,            ,      3.4397,            ,      4.5161,            ,      3.9549,            ,      3.9590,            ,      4.4477,            ,      4.1983,            ,      5.6117,            ,      3.9146,            ,      3.2348,            ,      3.8325,            ,      4.4489,            ,      4.1383,            ,      3.5276,            ,      3.9403,            ,      3.9654,            ,      4.3985,            ,      4.8350,            ,      4.7321,            ,
  Min HR (beats/min):         ,     59.3061,            ,     58.8870,            ,     57.6480,            ,     56.0538,            ,     58.0102,            ,     60.3015,            ,     56.9855,            ,     59.7550,            ,     61.5322,            ,     58.1903,            ,     58.2411,            ,     55.4068,            ,     59.9640,            ,     58.4966,            ,     59.6184,            ,     59.5652,            ,     59.0551,            ,     58.2581,            ,     56.6412,            ,     57.5153,            ,     59.1191,            ,     57.1646,            ,     59.4295,            ,
