HRV ANALYSIS RESULTS - 26-May-2021 16:03:52
Kubios HRV Premium
3.5.0
released in May 2021

Analyzed by:  -  - 

File name: C:\Users\Acquisition\Desktop\Active analysis\Kubios analysis\3296_10 Perf1.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiEKG
Channel label: RR data
Data length: 02:21:36 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 27
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: Spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,    Sample 7,    Sample 8,    Sample 9,   Sample 10,   Sample 11,   Sample 12,   Sample 13,   Sample 14,   Sample 15,   Sample 16,   Sample 17,   Sample 18,   Sample 19,   Sample 20,   Sample 21,   Sample 22,   Sample 23,   Sample 24,   Sample 25,   Sample 26,   Sample 27,
  Sample limits (hh:mm:ss):   ,00:01:42-00:06:42,00:06:42-00:11:42,00:11:42-00:16:42,00:16:42-00:21:42,00:21:42-00:26:42,00:26:42-00:31:42,00:31:42-00:36:42,00:36:42-00:41:42,00:41:42-00:46:42,00:46:42-00:51:42,00:51:42-00:56:42,00:56:42-01:01:42,01:01:42-01:06:42,01:06:42-01:11:42,01:11:42-01:16:42,01:16:42-01:21:42,01:21:42-01:26:42,01:26:42-01:31:42,01:31:42-01:36:42,01:36:42-01:41:42,01:41:42-01:46:42,01:46:42-01:51:42,01:51:42-01:56:42,01:56:42-02:01:42,02:01:42-02:06:42,02:06:42-02:11:42,02:11:42-02:16:42,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,          54,         135,
  Beats corrected:            ,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           8,
  Beats corrected (%):        ,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,         NaN,           0,        5.93,
  Effective data length (s):  ,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,          45,         107,
  Effective data length (%):  ,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,       15.00,       35.79,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,    SAMPLE 7,            ,    SAMPLE 8,            ,    SAMPLE 9,            ,   SAMPLE 10,            ,   SAMPLE 11,            ,   SAMPLE 12,            ,   SAMPLE 13,            ,   SAMPLE 14,            ,   SAMPLE 15,            ,   SAMPLE 16,            ,   SAMPLE 17,            ,   SAMPLE 18,            ,   SAMPLE 19,            ,   SAMPLE 20,            ,   SAMPLE 21,            ,   SAMPLE 22,            ,   SAMPLE 23,            ,   SAMPLE 24,            ,   SAMPLE 25,            ,   SAMPLE 26,            ,   SAMPLE 27,            ,
Results Overview              ,
  PNS index:                  ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,      0.6759,            ,     -0.1416,            ,
  SNS index:                  ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,     -0.0752,            ,      0.1466,            ,
  Stress index:               ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,      6.6979,            ,      5.7960,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,    838.2870,            ,    793.0795,            ,
  SDNN (ms):                  ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,     83.3288,            ,     87.8997,            ,
  Mean HR (beats/min):        ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,     71.5745,            ,     75.6545,            ,
  SD HR (beats/min):          ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,      7.7958,            ,      7.8810,            ,
  Min HR (beats/min):         ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,     60.4534,            ,     56.7712,            ,
  Max HR (beats/min):         ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,     97.0874,            ,     95.9693,            ,
