HRV ANALYSIS RESULTS - 26-May-2021 16:01:41
Kubios HRV Premium
3.5.0
released in May 2021

Analyzed by:  -  - 

File name: C:\Users\Acquisition\Desktop\Active analysis\Kubios analysis\3296_10 Perf2.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiEKG
Channel label: RR data
Data length: 03:48:48 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 45
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: Spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,    Sample 7,    Sample 8,    Sample 9,   Sample 10,   Sample 11,   Sample 12,   Sample 13,   Sample 14,   Sample 15,   Sample 16,   Sample 17,   Sample 18,   Sample 19,   Sample 20,   Sample 21,   Sample 22,   Sample 23,   Sample 24,   Sample 25,   Sample 26,   Sample 27,   Sample 28,   Sample 29,   Sample 30,   Sample 31,   Sample 32,   Sample 33,   Sample 34,   Sample 35,   Sample 36,   Sample 37,   Sample 38,   Sample 39,   Sample 40,   Sample 41,   Sample 42,   Sample 43,   Sample 44,   Sample 45,
  Sample limits (hh:mm:ss):   ,00:01:42-00:06:42,00:06:42-00:11:42,00:11:42-00:16:42,00:16:42-00:21:42,00:21:42-00:26:42,00:26:42-00:31:42,00:31:42-00:36:42,00:36:42-00:41:42,00:41:42-00:46:42,00:46:42-00:51:42,00:51:42-00:56:42,00:56:42-01:01:42,01:01:42-01:06:42,01:06:42-01:11:42,01:11:42-01:16:42,01:16:42-01:21:42,01:21:42-01:26:42,01:26:42-01:31:42,01:31:42-01:36:42,01:36:42-01:41:42,01:41:42-01:46:42,01:46:42-01:51:42,01:51:42-01:56:42,01:56:42-02:01:42,02:01:42-02:06:42,02:06:42-02:11:42,02:11:42-02:16:42,02:16:42-02:21:42,02:21:42-02:26:42,02:26:42-02:31:42,02:31:42-02:36:42,02:36:42-02:41:42,02:41:42-02:46:42,02:46:42-02:51:42,02:51:42-02:56:42,02:56:42-03:01:42,03:01:42-03:06:42,03:06:42-03:11:42,03:11:42-03:16:42,03:16:42-03:21:42,03:21:42-03:26:42,03:26:42-03:31:42,03:31:42-03:36:42,03:36:42-03:41:42,03:41:42-03:46:42,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,          50,         298,          82,         342,         344,         382,         353,         321,         350,         348,         175,         266,         238,         389,         359,         361,         375,         377,         370,         169,         352,         346,         353,         377,         269,         331,         345,         367,         340,         336,         379,         285,         249,         208,          82,         186,         168,         202,         203,         201,          39,         340,         189,         286,          52,
  Beats corrected:            ,           0,           5,           6,           7,          11,           8,           2,           4,           1,          20,          19,          11,          14,          20,           2,           9,           0,           3,           0,           0,           4,           0,           0,          15,           8,           0,          11,           4,           6,          10,          30,           8,          22,           9,          11,          11,           9,           6,           0,           1,           3,          16,           7,          18,           4,
  Beats corrected (%):        ,           0,        1.68,        7.32,        2.05,         3.2,        2.09,       0.567,        1.25,       0.286,        5.75,        10.9,        4.14,        5.88,        5.14,       0.557,        2.49,           0,       0.796,           0,           0,        1.14,           0,           0,        3.98,        2.97,           0,        3.19,        1.09,        1.76,        2.98,        7.92,        2.81,        8.84,        4.33,        13.4,        5.91,        5.36,        2.97,           0,       0.498,        7.69,        4.71,         3.7,        6.29,        7.69,
  Effective data length (s):  ,          33,         216,          54,         247,         253,         294,         300,         253,         300,         286,         116,         182,         179,         297,         290,         300,         300,         300,         300,         139,         296,         290,         300,         300,         217,         277,         300,         300,         289,         291,         290,         236,         204,         180,          52,         129,         117,         174,         185,         159,          28,         235,         136,         191,          47,
  Effective data length (%):  ,       11.00,       71.91,       18.06,       82.27,       84.28,       97.99,      100.00,       84.28,      100.00,       95.32,       38.80,       60.54,       59.53,       99.00,       96.66,      100.00,      100.00,      100.00,      100.00,       46.49,       98.66,       96.66,      100.00,      100.00,       72.24,       92.31,      100.00,      100.00,       96.32,       96.99,       96.67,       78.52,       68.00,       59.87,       17.39,       43.00,       39.13,       57.86,       61.67,       52.84,        9.33,       78.19,       45.33,       63.55,       15.53,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,    SAMPLE 7,            ,    SAMPLE 8,            ,    SAMPLE 9,            ,   SAMPLE 10,            ,   SAMPLE 11,            ,   SAMPLE 12,            ,   SAMPLE 13,            ,   SAMPLE 14,            ,   SAMPLE 15,            ,   SAMPLE 16,            ,   SAMPLE 17,            ,   SAMPLE 18,            ,   SAMPLE 19,            ,   SAMPLE 20,            ,   SAMPLE 21,            ,   SAMPLE 22,            ,   SAMPLE 23,            ,   SAMPLE 24,            ,   SAMPLE 25,            ,   SAMPLE 26,            ,   SAMPLE 27,            ,   SAMPLE 28,            ,   SAMPLE 29,            ,   SAMPLE 30,            ,   SAMPLE 31,            ,   SAMPLE 32,            ,   SAMPLE 33,            ,   SAMPLE 34,            ,   SAMPLE 35,            ,   SAMPLE 36,            ,   SAMPLE 37,            ,   SAMPLE 38,            ,   SAMPLE 39,            ,   SAMPLE 40,            ,   SAMPLE 41,            ,   SAMPLE 42,            ,   SAMPLE 43,            ,   SAMPLE 44,            ,   SAMPLE 45,            ,
Results Overview              ,
  PNS index:                  ,     -1.4405,            ,     -1.2626,            ,     -1.4227,            ,     -0.7235,            ,     -0.6759,            ,     -0.2888,            ,      0.2671,            ,     -0.2750,            ,     -0.2875,            ,      0.0264,            ,     -1.1014,            ,     -0.8396,            ,     -0.5968,            ,     -0.5410,            ,     -0.3163,            ,      0.0262,            ,     -0.2174,            ,     -0.3818,            ,     -0.3595,            ,     -0.1543,            ,      0.3550,            ,      0.0456,            ,      0.4114,            ,     -0.2411,            ,     -0.3241,            ,      0.1721,            ,      0.5102,            ,      0.0081,            ,      0.0929,            ,      0.3939,            ,     -0.4975,            ,      0.0870,            ,      0.1924,            ,      1.0282,            ,     -1.5027,            ,     -0.9511,            ,     -0.9212,            ,      0.2515,            ,      0.4110,            ,     -0.5960,            ,     -0.9432,            ,     -0.8048,            ,     -0.6348,            ,     -1.1694,            ,     -1.5728,            ,
  SNS index:                  ,      1.8604,            ,      1.4509,            ,      1.8187,            ,      0.8517,            ,      0.7403,            ,      0.2326,            ,     -0.3103,            ,      0.1681,            ,     -0.0691,            ,     -0.0772,            ,      1.6700,            ,      1.4153,            ,      0.6028,            ,      0.4881,            ,      0.1710,            ,     -0.0965,            ,      0.0520,            ,      0.2650,            ,      0.1339,            ,      0.1466,            ,     -0.2739,            ,     -0.0796,            ,     -0.3822,            ,      0.1556,            ,      0.4221,            ,     -0.1195,            ,     -0.4608,            ,     -0.0978,            ,     -0.2538,            ,     -0.3702,            ,      0.4480,            ,     -0.0254,            ,     -0.0563,            ,     -0.3582,            ,      2.2190,            ,      1.3599,            ,      1.5933,            ,      0.0133,            ,     -0.4511,            ,      0.5881,            ,      1.2738,            ,      1.0461,            ,      0.8472,            ,      1.4166,            ,      2.9288,            ,
  Stress index:               ,     10.7184,            ,     11.1655,            ,     10.4016,            ,      7.3246,            ,      7.0765,            ,      5.5599,            ,      5.0875,            ,      5.8214,            ,      6.7314,            ,      5.4533,            ,      9.7199,            ,      9.3979,            ,      6.8944,            ,      6.8362,            ,      6.4694,            ,      5.9217,            ,      5.3995,            ,      6.7583,            ,      6.3644,            ,      7.1961,            ,      5.1164,            ,      6.0329,            ,      4.7097,            ,      6.4859,            ,      8.3079,            ,      6.0570,            ,      4.9588,            ,      5.0061,            ,      5.4366,            ,      5.2027,            ,      6.7173,            ,      6.0246,            ,      5.7714,            ,      5.5739,            ,     11.4498,            ,      9.2059,            ,     11.2234,            ,      7.9088,            ,      6.2827,            ,      8.6810,            ,      9.6242,            ,      6.9008,            ,      7.4698,            ,      7.7807,            ,     15.0816,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    668.1100,            ,    721.0780,            ,    664.0478,            ,    718.4631,            ,    731.5624,            ,    767.5581,            ,    847.9771,            ,    785.5288,            ,    856.8091,            ,    818.9978,            ,    663.2109,            ,    681.4567,            ,    746.8304,            ,    762.0343,            ,    804.8213,            ,    834.3527,            ,    798.2867,            ,    796.2339,            ,    809.6068,            ,    822.3225,            ,    838.9191,            ,    835.4798,            ,    850.3286,            ,    802.1377,            ,    802.7008,            ,    835.2281,            ,    876.2193,            ,    814.9891,            ,    847.5150,            ,    863.3604,            ,    765.2555,            ,    820.7809,            ,    817.8512,            ,    859.8536,            ,    637.5635,            ,    694.9556,            ,    693.5133,            ,    856.7554,            ,    910.7389,            ,    784.8393,            ,    713.6639,            ,    685.4814,            ,    718.3836,            ,    664.8808,            ,    618.3218,            ,
  SDNN (ms):                  ,     59.8354,            ,     42.5884,            ,     53.2674,            ,     64.9979,            ,     70.9773,            ,     74.0335,            ,     82.9505,            ,     73.2121,            ,     63.1135,            ,     83.7186,            ,     57.2227,            ,     54.6541,            ,     70.8407,            ,     69.0155,            ,     72.2521,            ,     78.0789,            ,     81.7857,            ,     70.3278,            ,     71.0285,            ,     66.0240,            ,     83.7856,            ,     80.5317,            ,     88.9567,            ,     66.9622,            ,     59.8538,            ,     73.2425,            ,     93.0771,            ,     93.4854,            ,     75.6252,            ,     86.2837,            ,     70.3942,            ,     77.8078,            ,     80.6813,            ,     94.5359,            ,     52.0960,            ,     68.2820,            ,     47.7277,            ,     63.0703,            ,     71.3730,            ,     51.4972,            ,     65.2905,            ,     68.7608,            ,     62.2903,            ,     72.5053,            ,     39.6925,            ,
  Mean HR (beats/min):        ,     89.8056,            ,     83.2087,            ,     90.3549,            ,     83.5116,            ,     82.0162,            ,     78.1700,            ,     70.7566,            ,     76.3817,            ,     70.0273,            ,     73.2603,            ,     90.4690,            ,     88.0467,            ,     80.3395,            ,     78.7366,            ,     74.5507,            ,     71.9120,            ,     75.1610,            ,     75.3547,            ,     74.1101,            ,     72.9641,            ,     71.5206,            ,     71.8150,            ,     70.5610,            ,     74.8001,            ,     74.7477,            ,     71.8367,            ,     68.4760,            ,     73.6206,            ,     70.7952,            ,     69.4959,            ,     78.4052,            ,     73.1011,            ,     73.3630,            ,     69.7793,            ,     94.1083,            ,     86.3364,            ,     86.5160,            ,     70.0317,            ,     65.8806,            ,     76.4488,            ,     84.0732,            ,     87.5297,            ,     83.5208,            ,     90.2417,            ,     97.0368,            ,
  SD HR (beats/min):          ,      7.8965,            ,      4.9798,            ,      7.4161,            ,      7.7657,            ,      9.6748,            ,      8.7608,            ,      7.4505,            ,      7.2159,            ,      5.4141,            ,      8.7654,            ,      8.2391,            ,      7.1991,            ,      7.7322,            ,      7.0159,            ,      6.9000,            ,      7.1141,            ,      7.8847,            ,      6.8747,            ,      6.5461,            ,      6.0528,            ,      7.6714,            ,      7.3461,            ,      8.6043,            ,      6.5087,            ,      5.5559,            ,      6.5403,            ,      7.9952,            ,      9.3214,            ,      6.5186,            ,      7.2431,            ,      7.4637,            ,      6.8436,            ,      7.1588,            ,      7.7062,            ,      8.7897,            ,      8.1930,            ,      6.1355,            ,      5.1679,            ,      5.5335,            ,      4.9658,            ,      8.1431,            ,      9.1217,            ,      7.4912,            ,     10.5700,            ,      6.1051,            ,
