HRV ANALYSIS RESULTS - 27-May-2021 11:52:28
Kubios HRV Premium
3.5.0
released in May 2021

Analyzed by:  -  - 

File name: C:\Users\Acquisition\Desktop\Active analysis\Kubios analysis\3296_12 Perf.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiEKG
Channel label: RR data
Data length: 03:53:29 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 46
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: Spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,    Sample 7,    Sample 8,    Sample 9,   Sample 10,   Sample 11,   Sample 12,   Sample 13,   Sample 14,   Sample 15,   Sample 16,   Sample 17,   Sample 18,   Sample 19,   Sample 20,   Sample 21,   Sample 22,   Sample 23,   Sample 24,   Sample 25,   Sample 26,   Sample 27,   Sample 28,   Sample 29,   Sample 30,   Sample 31,   Sample 32,   Sample 33,   Sample 34,   Sample 35,   Sample 36,   Sample 37,   Sample 38,   Sample 39,   Sample 40,   Sample 41,   Sample 42,   Sample 43,   Sample 44,   Sample 45,   Sample 46,
  Sample limits (hh:mm:ss):   ,00:00:00-00:05:00,00:05:00-00:10:00,00:10:00-00:15:00,00:15:00-00:20:00,00:20:00-00:25:00,00:25:00-00:30:00,00:30:00-00:35:00,00:35:00-00:40:00,00:40:00-00:45:00,00:45:00-00:50:00,00:50:00-00:55:00,00:55:00-01:00:00,01:00:00-01:05:00,01:05:00-01:10:00,01:10:00-01:15:00,01:15:00-01:20:00,01:20:00-01:25:00,01:25:00-01:30:00,01:30:00-01:35:00,01:35:00-01:40:00,01:40:00-01:45:00,01:45:00-01:50:00,01:50:00-01:55:00,01:55:00-02:00:00,02:00:00-02:05:00,02:05:00-02:10:00,02:10:00-02:15:00,02:15:00-02:20:00,02:20:00-02:25:00,02:25:00-02:30:00,02:30:00-02:35:00,02:35:00-02:40:00,02:40:00-02:45:00,02:45:00-02:50:00,02:50:00-02:55:00,02:55:00-03:00:00,03:00:00-03:05:00,03:05:00-03:10:00,03:10:00-03:15:00,03:15:00-03:20:00,03:20:00-03:25:00,03:25:00-03:30:00,03:30:00-03:35:00,03:35:00-03:40:00,03:40:00-03:45:00,03:45:00-03:50:00,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,         227,         179,         243,          24,         278,         347,         245,         310,         286,         150,         361,         360,         329,         333,         355,         353,         328,         323,         335,         309,         296,         313,         301,         303,         292,         309,         356,         275,         273,         268,         303,         301,         286,         304,         270,         312,         302,         305,         297,         295,         321,         326,         264,          36,          59,          94,
  Beats corrected:            ,           2,           1,           3,           0,           0,           0,           3,           9,          13,          12,           7,           2,           2,           0,           9,           4,           0,           0,           2,           0,           0,           1,           2,           0,           0,           0,          12,           0,           0,           0,           0,           0,           1,           0,           0,           0,           0,           1,           0,           2,           2,           5,           9,           0,          10,           2,
  Beats corrected (%):        ,       0.881,       0.559,        1.23,           0,           0,           0,        1.22,         2.9,        4.55,           8,        1.94,       0.556,       0.608,           0,        2.54,        1.13,           0,           0,       0.597,           0,           0,       0.319,       0.664,           0,           0,           0,        3.37,           0,           0,           0,           0,           0,        0.35,           0,           0,           0,           0,       0.328,           0,       0.678,       0.623,        1.53,        3.41,           0,        16.9,        2.13,
  Effective data length (s):  ,         186,         151,         198,          20,         232,         300,         211,         270,         238,         105,         285,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         300,         288,         300,         300,         300,         300,         300,         300,         300,         300,         300,         244,          36,          43,          98,
  Effective data length (%):  ,       61.87,       50.17,       66.00,        6.69,       77.33,      100.00,       70.33,       89.97,       79.26,       35.12,       95.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,       95.97,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,       81.27,       12.04,       14.43,       32.78,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,    SAMPLE 7,            ,    SAMPLE 8,            ,    SAMPLE 9,            ,   SAMPLE 10,            ,   SAMPLE 11,            ,   SAMPLE 12,            ,   SAMPLE 13,            ,   SAMPLE 14,            ,   SAMPLE 15,            ,   SAMPLE 16,            ,   SAMPLE 17,            ,   SAMPLE 18,            ,   SAMPLE 19,            ,   SAMPLE 20,            ,   SAMPLE 21,            ,   SAMPLE 22,            ,   SAMPLE 23,            ,   SAMPLE 24,            ,   SAMPLE 25,            ,   SAMPLE 26,            ,   SAMPLE 27,            ,   SAMPLE 28,            ,   SAMPLE 29,            ,   SAMPLE 30,            ,   SAMPLE 31,            ,   SAMPLE 32,            ,   SAMPLE 33,            ,   SAMPLE 34,            ,   SAMPLE 35,            ,   SAMPLE 36,            ,   SAMPLE 37,            ,   SAMPLE 38,            ,   SAMPLE 39,            ,   SAMPLE 40,            ,   SAMPLE 41,            ,   SAMPLE 42,            ,   SAMPLE 43,            ,   SAMPLE 44,            ,   SAMPLE 45,            ,   SAMPLE 46,            ,
Results Overview              ,
  PNS index:                  ,      0.2189,            ,     -0.0621,            ,     -0.3320,            ,     -0.3930,            ,      0.6454,            ,      0.7094,            ,      0.1739,            ,      1.0814,            ,      0.5646,            ,     -1.1157,            ,      0.1518,            ,      0.0442,            ,      0.6125,            ,      0.6646,            ,      0.2289,            ,      0.1826,            ,      0.9308,            ,      0.9089,            ,      0.6268,            ,      1.5460,            ,      1.7330,            ,      1.6634,            ,      1.1960,            ,      1.5729,            ,      1.6770,            ,      1.5246,            ,      0.3709,            ,      2.4258,            ,      2.4506,            ,      1.9008,            ,      1.3228,            ,      1.7909,            ,      1.9670,            ,      1.5275,            ,      2.2554,            ,      1.5616,            ,      1.4996,            ,      1.7068,            ,      1.3408,            ,      1.3926,            ,      0.6967,            ,      1.5081,            ,      1.2785,            ,      3.2068,            ,     -0.5394,            ,      2.8523,            ,
  SNS index:                  ,      0.0237,            ,      0.0068,            ,      0.4081,            ,      0.5881,            ,     -0.1254,            ,     -0.4447,            ,     -0.0048,            ,     -0.3765,            ,     -0.1053,            ,      1.4469,            ,      0.2423,            ,     -0.0664,            ,     -0.5260,            ,     -0.4869,            ,     -0.1510,            ,     -0.2762,            ,     -0.5932,            ,     -0.7077,            ,     -0.5861,            ,     -0.9985,            ,     -1.2278,            ,     -1.0196,            ,     -0.9298,            ,     -1.1439,            ,     -1.1842,            ,     -0.9717,            ,     -0.2330,            ,     -1.4887,            ,     -1.5643,            ,     -1.3994,            ,     -0.9348,            ,     -1.1341,            ,     -1.2332,            ,     -1.1037,            ,     -1.5074,            ,     -0.9884,            ,     -1.1090,            ,     -1.1305,            ,     -1.0007,            ,     -1.1069,            ,     -0.6367,            ,     -0.8423,            ,     -0.8443,            ,     -1.0347,            ,      0.8578,            ,     -1.4434,            ,
  Stress index:               ,      6.6739,            ,      6.9963,            ,      8.7441,            ,     10.5217,            ,      6.7258,            ,      5.2530,            ,      8.1677,            ,      6.1512,            ,      6.2525,            ,     10.0480,            ,      7.0015,            ,      6.2601,            ,      6.0490,            ,      6.0733,            ,      6.2832,            ,      5.3475,            ,      5.7498,            ,      5.5686,            ,      5.0951,            ,      4.7526,            ,      4.2750,            ,      4.1162,            ,      5.9414,            ,      4.0711,            ,      4.9150,            ,      5.4102,            ,      5.8669,            ,      4.7738,            ,      4.7218,            ,      5.8562,            ,      5.8825,            ,      4.5581,            ,      4.0450,            ,      4.7461,            ,      4.8362,            ,      4.7234,            ,      4.6861,            ,      4.4795,            ,      5.6728,            ,      5.3350,            ,      5.9830,            ,      4.5731,            ,      4.4130,            ,      6.6226,            ,      7.1773,            ,      4.3796,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    814.7585,            ,    837.2399,            ,    816.4869,            ,    832.2917,            ,    833.9640,            ,    863.3761,            ,    861.7794,            ,    868.9448,            ,    828.1422,            ,    698.4826,            ,    789.0451,            ,    832.8252,            ,    910.3312,            ,    901.9414,            ,    851.0359,            ,    848.3811,            ,    914.4466,            ,    929.8762,            ,    894.3455,            ,    972.2055,            ,   1014.1588,            ,    956.8189,            ,    992.1499,            ,    990.1832,            ,   1026.6610,            ,    973.2023,            ,    850.1833,            ,   1089.6091,            ,   1101.9048,            ,   1119.9944,            ,    987.1914,            ,    999.3920,            ,    999.2586,            ,    987.3224,            ,   1110.9500,            ,    962.8558,            ,    992.1126,            ,    982.0507,            ,   1009.7946,            ,   1020.0297,            ,    933.8116,            ,    925.6024,            ,    919.9461,            ,    988.5278,            ,    721.6771,            ,   1045.2675,            ,
  SDNN (ms):                  ,     63.4762,            ,     60.9646,            ,     56.5084,            ,     49.2112,            ,     65.9892,            ,     76.5153,            ,     53.3852,            ,     79.0350,            ,     76.5760,            ,     54.3820,            ,     68.3871,            ,     70.3073,            ,     69.8576,            ,     72.7386,            ,     77.5328,            ,     77.8092,            ,     81.0579,            ,     73.3283,            ,     76.8208,            ,     93.5650,            ,     95.2542,            ,    105.6358,            ,     68.3069,            ,    101.1991,            ,     87.8863,            ,     75.5992,            ,     77.7305,            ,     87.0845,            ,     80.1392,            ,     68.6661,            ,     70.4096,            ,     98.6444,            ,     99.1199,            ,     79.0403,            ,     87.0905,            ,     89.3449,            ,     82.5444,            ,     84.5710,            ,     79.1029,            ,     75.5942,            ,     69.9873,            ,     96.6214,            ,     88.4812,            ,     88.8976,            ,     91.6265,            ,     97.5445,            ,
  Mean HR (beats/min):        ,     73.6415,            ,     71.6640,            ,     73.4856,            ,     72.0901,            ,     71.9455,            ,     69.4946,            ,     69.6234,            ,     69.0493,            ,     72.4513,            ,     85.9005,            ,     76.0413,            ,     72.0439,            ,     65.9101,            ,     66.5232,            ,     70.5023,            ,     70.7229,            ,     65.6135,            ,     64.5247,            ,     67.0882,            ,     61.7153,            ,     59.1623,            ,     62.7078,            ,     60.4747,            ,     60.5948,            ,     58.4419,            ,     61.6521,            ,     70.5730,            ,     55.0656,            ,     54.4512,            ,     53.5717,            ,     60.7785,            ,     60.0365,            ,     60.0445,            ,     60.7704,            ,     54.0078,            ,     62.3146,            ,     60.4770,            ,     61.0966,            ,     59.4180,            ,     58.8218,            ,     64.2528,            ,     64.8226,            ,     65.2212,            ,     60.6963,            ,     83.1397,            ,     57.4016,            ,
  SD HR (beats/min):          ,      6.1889,            ,      5.2163,            ,      5.3017,            ,      4.2807,            ,      5.7649,            ,      6.4620,            ,      4.4622,            ,      6.4606,            ,      6.9732,            ,      6.7556,            ,      6.5033,            ,      6.1866,            ,      5.3116,            ,      5.6353,            ,      6.5776,            ,      6.7521,            ,      6.0590,            ,      5.2873,            ,      5.9466,            ,      6.2831,            ,      6.0467,            ,      7.7039,            ,      4.3867,            ,      6.8499,            ,      5.2884,            ,      4.9564,            ,      6.3910,            ,      4.6324,            ,      4.2712,            ,      3.4618,            ,      4.5612,            ,      6.3331,            ,      6.5217,            ,      5.0196,            ,      4.6639,            ,      6.0487,            ,      5.2524,            ,      5.6252,            ,      4.9772,            ,      4.7345,            ,      5.0809,            ,      6.7941,            ,      6.3930,            ,      5.1760,            ,     10.4674,            ,      6.1211,            ,
